gender,race_ethnicity,parental_level_of_education,lunch,test_preparation_course,math_score,reading_score,writing_score
male,group B,some college,standard,completed,62,66,68
male,group E,some high school,free/reduced,completed,78,83,80
female,group C,associate's degree,standard,none,91,95,94
female,group C,high school,free/reduced,none,36,53,43
female,group E,some college,standard,none,100,92,97
female,group C,some college,standard,none,84,87,91
female,group A,master's degree,free/reduced,none,50,67,73
female,group B,some high school,standard,completed,32,51,44
female,group B,some high school,standard,none,82,82,80
female,group B,associate's degree,standard,completed,61,86,87
female,group E,high school,free/reduced,none,41,45,40
female,group D,some college,standard,none,80,90,89
male,group C,bachelor's degree,standard,none,86,83,86
male,group C,master's degree,standard,completed,91,85,85
female,group B,some high school,free/reduced,none,18,32,28
female,group A,some college,standard,none,56,58,64
female,group B,master's degree,free/reduced,completed,52,70,62
female,group A,high school,free/reduced,completed,34,48,41
male,group B,master's degree,free/reduced,none,49,53,52
male,group D,some college,standard,completed,100,97,99
male,group C,associate's degree,free/reduced,completed,78,81,82
male,group B,some high school,standard,completed,65,66,62
female,group B,associate's degree,free/reduced,completed,68,77,80
female,group C,master's degree,standard,completed,69,84,85
male,group C,some college,free/reduced,none,74,77,73
female,group C,bachelor's degree,standard,completed,96,100,100
male,group D,some high school,standard,none,86,80,75
female,group C,associate's degree,standard,none,53,62,53
male,group C,master's degree,free/reduced,none,79,81,71
female,group B,some college,free/reduced,completed,53,66,73
female,group B,some high school,standard,none,62,64,66
male,group C,associate's degree,free/reduced,completed,43,45,50
female,group B,associate's degree,free/reduced,none,52,76,70
female,group D,some high school,standard,completed,65,78,82
female,group D,high school,free/reduced,none,73,92,84
male,group A,some high school,free/reduced,none,55,46,43
male,group C,high school,standard,none,81,66,64
male,group C,some college,standard,none,69,64,68
female,group D,bachelor's degree,free/reduced,none,73,79,84
female,group B,high school,free/reduced,none,64,73,71
male,group D,high school,standard,none,70,70,70
male,group C,some college,free/reduced,none,80,64,66
male,group B,high school,standard,none,70,65,60
male,group A,some high school,standard,none,71,62,50
female,group C,high school,standard,none,72,80,75
male,group C,associate's degree,standard,none,97,93,91
male,group A,some high school,free/reduced,completed,61,62,61
female,group D,some college,free/reduced,completed,67,86,83
male,group C,associate's degree,standard,completed,82,75,77
female,group C,some college,free/reduced,completed,63,73,71
female,group D,high school,free/reduced,none,39,52,46
male,group C,high school,standard,none,50,48,42
male,group E,some high school,standard,none,30,26,22
male,group C,some high school,free/reduced,completed,51,56,53
female,group B,associate's degree,free/reduced,none,53,70,70
female,group C,associate's degree,free/reduced,completed,82,93,93
female,group C,some high school,free/reduced,completed,71,84,87
male,group D,associate's degree,standard,none,61,48,46
male,group A,some college,free/reduced,none,28,23,19
male,group C,high school,standard,none,52,53,49
male,group D,high school,standard,none,89,87,79
male,group B,associate's degree,standard,completed,82,84,78
female,group B,high school,standard,none,65,64,62
male,group E,high school,free/reduced,completed,86,81,75
female,group C,bachelor's degree,free/reduced,none,43,62,61
female,group B,master's degree,standard,none,90,95,93
male,group C,high school,standard,completed,75,69,68
female,group C,some college,standard,completed,70,89,88
male,group D,some high school,standard,completed,62,66,68
female,group C,associate's degree,standard,none,91,86,84
female,group A,high school,standard,completed,75,82,79
male,group B,associate's degree,standard,completed,65,65,63
female,group C,master's degree,standard,completed,54,64,67
female,group C,some high school,free/reduced,completed,50,60,60
female,group C,associate's degree,free/reduced,none,65,77,74
female,group B,associate's degree,standard,none,58,63,65
male,group E,some college,standard,none,68,72,65
female,group A,associate's degree,standard,none,82,93,93
male,group C,some high school,free/reduced,completed,45,52,49
male,group D,associate's degree,standard,none,52,55,49
male,group B,some high school,standard,completed,84,83,75
female,group C,high school,standard,none,59,72,68
female,group D,bachelor's degree,standard,completed,68,75,81
female,group C,some high school,standard,completed,70,82,76
male,group A,associate's degree,standard,none,54,53,47
female,group C,associate's degree,free/reduced,none,64,73,68
male,group B,some college,standard,completed,71,75,70
