iter	RMSE
0	15.35148783
1	14.48547801
2	13.71885454
3	13.00049958
4	12.46155798
5	11.9588909
6	11.44659442
7	10.96913312
8	10.55252134
9	10.06004716
10	9.580333645
11	9.208693132
12	8.86953787
13	8.590874435
14	8.293146919
15	8.052784861
16	7.811855098
17	7.553385659
18	7.319360688
19	7.115135628
20	6.905845559
21	6.74980104
22	6.582141273
23	6.416742632
24	6.289000171
25	6.162688128
26	6.041454369
27	5.963701729
28	5.864443599
29	5.779397155
30	5.681420649
31	5.580028435
32	5.500362363
33	5.437170368
34	5.384394778
35	5.335809975
36	5.287713432
37	5.211287603
38	5.144669508
39	5.086426539
40	5.03106761
41	4.977699947
42	4.943209948
43	4.904135835
44	4.863394492
45	4.819654744
46	4.762275089
47	4.708538407
48	4.673148329
49	4.621428196
50	4.54810838
51	4.512689541
52	4.490136147
53	4.443730795
54	4.39914143
55	4.369864553
56	4.335339426
57	4.313321963
58	4.296460304
59	4.274833152
60	4.249066732
61	4.208541375
62	4.187499049
63	4.173881806
64	4.149752231
65	4.117724446
66	4.077472622
67	4.056664187
68	4.039783307
69	4.013267387
70	3.981308408
71	3.957237438
72	3.921900927
73	3.891371792
74	3.876774998
75	3.841678865
76	3.82473381
77	3.811335137
78	3.7823299
79	3.766964964
80	3.752893472
81	3.730212885
82	3.706129533
83	3.692285975
84	3.682489613
85	3.668278083
86	3.651629216
87	3.635951832
88	3.629292902
89	3.613108303
90	3.591287273
91	3.562076532
92	3.547958079
93	3.539674759
94	3.510233587
95	3.488559936
96	3.475202999
97	3.457063317
98	3.437153701
99	3.425615123
