iter	Passed	Remaining
0	1	184
1	3	154
2	4	155
3	7	172
4	9	174
5	10	157
6	11	151
7	12	148
8	14	146
9	16	144
10	17	141
11	19	140
12	20	134
13	21	131
14	22	126
15	23	123
16	24	118
17	25	114
18	26	111
19	27	110
20	29	110
21	30	108
22	31	106
23	33	105
24	34	103
25	36	104
26	38	103
27	38	99
28	39	96
29	40	93
30	41	91
31	42	89
32	43	87
33	44	86
34	45	84
35	46	82
36	48	81
37	48	79
38	49	78
39	50	76
40	52	75
41	53	73
42	54	72
43	55	70
44	55	68
45	56	66
46	57	64
47	58	62
48	58	61
49	60	60
50	61	59
51	62	57
52	63	56
53	64	55
54	86	70
55	96	75
56	98	73
57	104	75
58	112	78
59	113	75
60	115	73
61	116	71
62	117	69
63	118	66
64	119	64
65	120	62
66	121	60
67	123	58
68	124	55
69	132	56
70	133	54
71	134	52
72	136	50
73	137	48
74	139	46
75	140	44
76	142	42
77	142	40
78	143	38
79	145	36
80	147	34
81	148	32
82	149	30
83	150	28
84	152	26
85	154	25
86	155	23
87	156	21
88	158	19
89	159	17
90	160	15
91	161	14
92	163	12
93	164	10
94	166	8
95	168	7
96	170	5
97	172	3
98	173	1
99	174	0
