iter	RMSE
0	14.94165439
1	14.57717326
2	14.17586855
3	13.80693665
4	13.46621611
5	13.13209576
6	12.82871459
7	12.51818524
8	12.2396475
9	11.94677001
10	11.67074839
11	11.44237768
12	11.2128208
13	10.95390339
14	10.71604363
15	10.47410673
16	10.26090416
17	10.05875433
18	9.842024233
19	9.65338827
20	9.484293832
21	9.314305891
22	9.145022969
23	8.990087596
24	8.843693379
25	8.691357771
26	8.546425936
27	8.433634944
28	8.310088544
29	8.191597026
30	8.079742789
31	7.963886913
32	7.865130526
33	7.755948994
34	7.65762693
35	7.564802676
36	7.473701952
37	7.387814618
38	7.29926451
39	7.22126344
40	7.146632576
41	7.079474789
42	7.018716262
43	6.952470092
44	6.88771694
45	6.83043721
46	6.775027336
47	6.715508452
48	6.656654293
49	6.614200934
50	6.560738916
51	6.505324135
52	6.45583736
53	6.412008872
54	6.372500508
55	6.329190186
56	6.284359315
57	6.250960924
58	6.217367861
59	6.185535428
60	6.156194662
61	6.125873259
62	6.097428967
63	6.06776821
64	6.039851484
65	6.015363157
66	5.990301996
67	5.962524571
68	5.932502289
69	5.908085844
70	5.887395152
71	5.862863918
72	5.839644759
73	5.81582648
74	5.799397818
75	5.782637079
76	5.763452073
77	5.746435513
78	5.728354502
79	5.709084616
80	5.699734139
81	5.685790147
82	5.671316458
83	5.653892313
84	5.638010187
85	5.624678955
86	5.614828977
87	5.601639619
88	5.586046198
89	5.57430038
90	5.566554866
91	5.555354493
92	5.544907753
93	5.534395337
94	5.526085345
95	5.513156904
96	5.502068976
97	5.493814396
98	5.486483766
99	5.479304784
100	5.474734427
101	5.46589544
102	5.456478922
103	5.451859789
104	5.444134088
105	5.435878616
106	5.427903229
107	5.418738906
108	5.411122551
109	5.404024442
110	5.396575916
111	5.387054501
112	5.381480262
113	5.367080042
114	5.362638936
115	5.355628679
116	5.354451745
117	5.345694211
118	5.335391917
119	5.323875679
120	5.316703808
121	5.309875268
122	5.302766918
123	5.292828322
124	5.287256424
125	5.28033737
126	5.272647892
127	5.26346536
128	5.253390836
129	5.248812581
130	5.242206298
131	5.236646164
132	5.225901849
133	5.219312223
134	5.213884504
135	5.209391761
136	5.204758625
137	5.200171667
138	5.193634738
139	5.1893582
140	5.185174996
141	5.178519547
