iter	Passed	Remaining
0	10	10867
1	11	5949
2	12	4317
3	13	3460
4	14	2918
5	15	2548
6	16	2284
7	16	2085
8	17	1929
9	18	1807
10	18	1706
11	19	1629
12	24	1866
13	25	1788
14	26	1716
15	26	1652
16	27	1594
17	28	1542
18	28	1495
19	29	1454
20	30	1424
21	31	1393
22	32	1362
23	32	1333
24	33	1306
25	34	1281
26	34	1259
27	36	1277
28	37	1264
29	38	1251
30	39	1237
31	40	1223
32	41	1208
33	42	1197
34	42	1183
35	43	1168
36	44	1154
37	45	1141
38	45	1129
39	46	1119
40	47	1109
41	50	1143
42	51	1152
43	52	1148
44	53	1140
45	54	1131
46	55	1130
47	56	1120
48	57	1110
49	57	1101
50	58	1091
51	59	1083
52	60	1075
53	60	1066
54	61	1059
55	66	1113
56	67	1110
57	67	1101
58	68	1093
59	69	1082
60	69	1074
61	70	1067
62	71	1059
63	72	1053
64	72	1046
65	73	1040
66	74	1034
67	75	1028
68	75	1021
69	76	1016
70	79	1044
71	80	1041
72	81	1036
73	82	1030
74	83	1024
75	83	1018
76	84	1012
77	85	1006
78	85	1000
79	86	996
80	87	989
81	87	984
82	88	979
83	89	974
84	90	972
85	91	969
86	94	989
87	95	986
88	96	984
89	96	979
90	97	973
91	98	969
92	98	965
93	99	961
94	100	955
95	101	951
96	101	947
97	102	943
98	103	937
99	104	936
100	104	933
101	109	962
102	110	961
103	111	957
104	111	953
105	112	949
106	113	945
107	114	941
108	114	937
109	115	934
110	116	931
111	117	935
112	120	942
113	125	975
114	126	974
115	128	979
116	129	974
117	130	972
118	131	970
119	131	966
120	132	963
121	133	960
122	134	957
123	135	953
124	138	967
125	139	965
126	139	962
127	140	958
128	141	954
129	142	950
130	142	947
131	143	944
132	144	941
133	145	938
134	145	935
135	146	931
136	147	930
137	148	927
138	149	924
139	149	921
140	153	933
141	154	932
142	155	930
143	155	926
144	156	923
145	157	920
146	158	917
147	158	914
148	159	912
149	160	910
150	161	908
151	162	905
152	162	902
153	163	899
154	164	896
155	166	900
156	167	898
157	168	895
158	168	893
159	169	890
160	170	886
161	170	883
162	171	881
163	173	885
164	174	884
165	175	881
166	176	880
167	177	877
168	180	886
169	181	886
170	182	883
171	183	881
172	183	878
173	184	876
174	185	874
175	186	874
176	187	872
177	188	870
178	189	869
179	190	868
180	191	865
181	196	880
182	196	878
183	197	876
184	198	875
185	199	874
186	200	873
187	201	872
188	202	870
189	203	867
190	204	865
191	205	862
192	205	860
193	209	868
194	210	868
195	211	865
196	211	862
197	212	860
198	213	858
199	213	855
200	214	853
201	215	851
202	216	848
203	216	846
204	217	844
205	218	842
206	219	840
207	220	838
208	222	840
209	223	841
210	224	840
211	225	838
212	226	837
213	227	836
214	229	836
215	229	834
216	230	832
217	231	829
218	232	827
219	232	825
220	233	823
221	234	821
222	235	819
223	236	819
224	237	817
225	238	817
226	239	815
227	240	814
228	241	812
229	242	810
230	246	820
231	247	818
232	249	820
233	250	818
234	251	817
235	251	815
236	252	812
237	253	810
238	253	808
239	254	806
240	255	803
241	255	801
242	256	799
243	257	797
244	258	795
245	258	793
246	259	791
247	260	789
248	263	794
249	264	793
250	265	791
251	265	788
252	266	786
253	267	784
254	267	782
255	268	780
256	269	779
257	270	777
258	270	775
259	271	773
260	272	770
261	273	769
262	273	767
263	274	765
264	278	771
265	279	770
266	279	768
267	280	766
268	281	764
269	282	762
270	283	761
271	283	759
272	284	757
273	285	756
274	286	754
275	286	752
276	287	750
277	288	748
278	291	754
279	293	754
280	294	752
281	295	751
282	295	749
283	296	747
284	297	745
285	297	743
286	298	741
287	299	739
288	300	738
289	300	736
290	301	734
291	302	733
292	303	732
293	307	739
294	308	737
295	309	736
296	310	735
297	311	734
298	312	732
299	313	731
300	314	729
301	314	727
302	315	725
303	316	724
304	316	722
305	317	720
306	318	718
307	322	724
308	323	723
309	324	721
310	324	719
311	325	717
312	326	715
313	326	714
314	327	712
315	328	710
316	329	709
317	329	707
318	330	705
319	331	704
320	332	702
321	332	700
322	335	704
323	336	703
324	337	701
325	338	699
326	339	698
327	339	696
328	340	694
329	341	693
330	342	691
331	342	689
332	343	688
333	344	686
334	345	685
335	345	683
336	346	682
337	347	680
338	349	681
339	350	680
340	351	678
341	351	676
342	352	675
343	353	673
344	354	672
345	355	672
346	357	672
347	358	671
348	359	669
349	359	668
350	365	676
351	367	676
352	368	675
353	369	674
354	370	673
355	371	672
356	372	670
357	373	668
358	373	667
359	374	665
360	375	663
361	379	668
362	380	666
363	380	665
364	381	664
365	382	663
366	383	661
367	384	660
368	385	659
369	386	657
370	387	656
371	387	654
372	388	653
373	389	651
374	393	655
375	393	653
376	394	652
377	395	650
378	396	649
379	397	648
380	398	646
381	398	645
382	399	643
383	400	642
384	400	640
385	401	638
386	402	637
387	403	635
388	403	634
389	408	638
